Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
16609,San Diego Gas & Electric Co,60995,Ramona Solar Energy,CA,San Diego,1,OP,Solar Photovoltaic,PV,Electric Utility,1,4.3,3.7,3.6,4,2017,,,,Y,,,,,,,180,20,4.9,Y,,,,,,N, ,N, 
60633,"Iron Horse Battery Storage, LLC",60996,Iron Horse Battery Storage Hybrid,AZ,Pima,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,4,2017,,,,Y,,,,,,,180,25,2.5,Y,,,,,,N, ,N, 
58970,"Ecoplexus, Inc",60997,Everett PV1,NC,Martin,EVRT1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10,10,10,12,2019,,,,Y,,,,,,,190,20,13,Y,,,,,,N, ,N, 
58970,"Ecoplexus, Inc",60998,Underwood PV2,NC,Hertford,UNWD2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16,16,16,10,2020,,,,Y,,,,,,,190,20,20,Y,,,,,,N, ,N, 
60643,Artemis Solar LLC,61003,Musgrave East Solar Farm,NY,Cayuga,CMUSW,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,12,2016,,,,Y,,,,,,,180,17,2.8,Y,,,,,,N, ,N, 
60648,"SCDA Solar 1, LLC",61006,SCDA Solar 1,CA,Sacramento,SCAIR,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,7,7,7,10,2017,,Y,,,,,,,,,180, ,7.9,Y,,,,,,Y,7.9,N, 
60649,"Redbrook Solar 1, LLC",61007,Redbrook Community Solar 1,MA,Plymouth,REDBR,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4,4,4,10,2017,,,,Y,,,,,,,180,20,5.6,Y,,,,,,N, ,Y,5.6
60650,"Brook Street Solar 1, LLC",61008,Brook Street Solar 1 CSG,MA,Plymouth,BROOK,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,5,5,8,2017,,,,Y,,,,,,,180,20,6.5,Y,,,,,,N, ,Y,6.5
60651,"Spring Street Solar 1, LLC",61009,Spring Street Solar 1 CSG,MA,Plymouth,SPRIN,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,3,2017,,,,Y,,,,,,,180,20,2.5,Y,,,,,,N, ,Y,2.5
60655,"Bullock Road Solar 1, LLC",61010,Bullock Road Solar 1,MA,Bristol,BULLO,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.9,1.9,1.9,7,2018,,,,Y,,,,,,,180,25,2.9,N,,,,,Y,N, ,N, 
60656,Chestnut Solar LLC,61011,Chestnut Solar,NC,Halifax,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,74.9,74.9,74.9,3,2020,,Y,,,,,,,,,90, ,100,Y,,,,,,N, ,N, 
61012,AES Distributed Energy,61013,Marin Clean Energy Solar One,CA,Contra Costa,MCES1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.5,10.5,10.5,12,2017,N,Y,,Y,,,,,,,180,15,13,Y,,,,,,N, ,N, 
60643,Artemis Solar LLC,61015,Musgrave West Solar Farm,NY,Cayuga,CMUSW,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,12,2016,,,,Y,,,,,,,180,17,2.8,Y,,,,,,N, ,N, 
60652,"Stafford St Solar 1, LLC",61016,Stafford St Solar 1 CSG,MA,Worcester,STAF1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,12,2017,,,,Y,,,,,,,180,25,6.9,Y,,,,,,N, ,Y,6.9
60653,"Stafford St Solar 2, LLC",61017,Stafford St 2 Community Solar,MA,Worcester,STAF2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.9,1.9,1.9,5,2018,,,,Y,,,,,,,180,25,2.8,Y,,,,,,N, ,N, 
60654,"Stafford St Solar 3, LLC",61018,Stafford St Solar 3 CSG,MA,Worcester,STAF3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,12,2017,,,,Y,,,,,,,180,25,6.9,Y,,,,,,N, ,Y,6.9
