BusID,Name,Latitude,Longitude
12015,CEBOLLA,,
12020,CLAPHAM,36.157521,-103.453247
12023,CUCHILLO,33.151848,-107.230694
12024,CUCHILLO,,
12027,DONA_ANA,32.341919,-106.778987
12028,EL_BUTTE,33.15339,-107.192263
12030,GALLUPPG,35.578271,-108.752806
12031,GALLUPPG,,
12032,GHOST_R,,
12033,GRANTS,35.151027,-107.846445
12034,GRANTS,,
12035,GRANTS_T,35.150425,-107.798185
12036,GULF_PGT,35.34185,-107.633561
12038,HERNANDZ,36.045918,-106.111792
12043,LA_JARA,36.076079,-107.120244
12047,MORIARTY,35.01125,-106.087534
12048,MPC,35.379867,-108.019145
12049,MPC,,
12050,OJO,36.112186,-106.159766
12053,PALM_T,35.273651,-106.665057
12054,PDPLAYAS,31.75897,-108.52947
12055,PDPLAYAS,,
12056,PEGS,35.416086,-108.087308
12057,PEGS,35.416086,-108.087308
12058,PEGS1,,
12059,PICACHO,32.35665,-106.789909
12061,PLAYAS,32.034366,-108.568285
12062,ROSEBUD,35.854379,-103.300112
12063,ROSEBUD,,
12064,ROWE,,
12065,ROWE_TAP,35.451421,-105.629665
12066,RR_TAP,35.241958,-106.706022
12067,VERANDAT,35.241129,-106.701557
12068,SMITHLAK,35.53788,-108.196696
12069,SMITHLAK,,
12071,SNYSIDRO,35.520263,-106.789845
12073,SOCORROP,34.053057,-106.928374
12074,SOCORROP,,
12077,SPRINGER,36.398149,-104.597254
12078,STORRIE,,
12079,STORRIE,35.673095,-105.226796
12080,TAOS,,
12081,TAOS,36.39526,-105.634452
12082,TAOS,36.39526,-105.634452
12083,TAYLOR_P,35.391923,-107.853261
12084,TAYLOR_P,,
12085,TIERRA_A,,
12086,WESTMS_3,35.11533,-106.725791
12087,WILLARD,34.614617,-106.06159
12089,WINGATE,35.510402,-108.532798
12092,PYRTAP1,32.239198,-108.547249
12093,PYRAMID,32.239198,-108.547249
12094,PYRMDG1,,
12095,PYRMDG2,,
12096,PYRTAP2,32.239198,-108.547249
12100,GLADSTON,36.32354,-104.043825
12101,GLADSTON,36.32354,-104.043825
12103,ESTANCIA,34.783061,-106.087327
12104,ESTANCIA,,
12105,TORRANCE,34.329994,-105.526966
12106,DURAN,34.462828,-105.400305
12113,OJOCALIT,36.295131,-105.857602
12115,HESSBDW,35.816851,-103.77638
12116,HESSBDW,,
12121,BLAZER,,
12122,BURRIS,,
12123,SFIDEL,,
12124,SEDAN,,
12125,RAINVL2,,
12126,SFIDEL_T,35.104411,-107.64116
12127,BURRIS_T,34.504045,-106.607645
12129,RAINVL1,35.956765,-105.216975
12130,RAINVL_T,35.956765,-105.216975
12131,BLAZER_T,33.165771,-105.82754
12138,C_CANYON,33.542849,-105.589295
12139,C_CANYON,,
12145,FRNTIER,32.992828,-107.117015
12147,FRNTIER,,
12148,BISON,36.511314,-104.908498
12149,CIMARRON,,
12156,CIM_TERT,,
12158,mid pt,36.511314,-104.908498
12159,CIMARRON,36.511314,-104.908498
12160,JARILLA1,32.414168,-106.088499
12161,JARILLA2,,
12167,HESS_TAP,35.816851,-103.77638
12174,LGHTNDCK,,
12176,PEGSPV_HV,,
12177,PEGSPV_LV1,,
12178,PEGSPV_LV2,,
12179,PEGSPV_GEN,,
12181,GLDSTNPS,36.32354,-104.043825
12195,ALTLUNTP,32.566485,-107.467107
12196,ALTALUNA,32.566485,-107.467107
12213,TORREON,35.737795,-107.09891
12214,TORREON,,
12251,VINCENTE,,
12445,ABIQUIU_TS,,
13000,ALAMOGCP,32.909958,-105.964528
13003,MD,32.766284,-108.152345
13007,HIDALGO,32.404209,-108.598599
13008,HURLEY_#,32.685969,-108.149168
13014,TURQUOIS,32.626492,-108.30833
13017,CHINO,,
13020,LORDSBRG,32.349116,-108.697866
13023,ALAMO_S,,
13024,ALAMO_M,,
13025,ALAMO_N,,
13046,TULAROSA,33.055226,-106.019898
13047,TULAROSA,,
13300,ABIQUI12,,
13301,BUCKMAN,35.776297,-106.115391
13303,EL_VADO1,,
13304,ETA,35.859315,-106.281268
13305,ETA-A,,
13306,LA-MPF,35.87052,-106.268191
13307,LA-MPF-A,,
