plant_code,plant_code_unique,plant_name,generator_id,state,county,ba,nerc_region,azimuth,tilt,system_capacity,module_type,array_type,lat,lon,losses
63678,63678,Paulson Community (CSG),PAUL,MN,Le Sueur,MISO,MRO,180,25,1000,0,0,44.335686,-93.917023,14
63679,63679,Laurel Village (CSG),LAUR,MN,Wright,MISO,MRO,180,30,1000,0,0,45.083808,-94.179684,14
63680,63680,Hertzberg Community (CSG),HERTZ,MN,Stearns,MISO,MRO,180,52,1000,0,2,45.410876,-94.702055,14
63681,63681,Oak Leaf Solar XXXIII LLC (Lantz),"13,14",CO,Chaffee,PSCO,WECC,180,52,3000,0,2,38.5357,-106.0753,14
63682,63682,Brenda Luhman - CSG,BLCS,MN,Goodhue,MISO,MRO,180,30,1000,0,0,44.291838,-92.72945,14
63683,63683,Carlson Community (CSG),CRLSN,MN,Chisago,MISO,MRO,180,30,1000,0,0,45.483154999999996,-92.815184,14
63684,63684,Hammer Community (CSG),HAMR,MN,Sherburne,MISO,MRO,180,52,1000,0,2,45.414071,-94.005708,14
63689,63689,Red Lake Falls Community Hybrid,RLFS,MN,Red Lake,MISO,MRO,180,30,1000,0,0,47.870581,-96.318586,14
63690,63690,Oak Street Solar,PV1,MA,Hampden,ISNE,NPCC,180,20,3500,0,0,42.148611,-72.496944,14
63692,63692,"PG Solar, LLC",13504,NC,Duplin,CPLE,SERC,180,35.167164,2000,0,2,35.167164,-78.017811,14
63693,63693,"Freight Line Solar, LLC",13503,NC,Duplin,CPLE,SERC,180,34.96885,2000,0,2,34.96885,-77.76236,14
63695,63695,"Holly Swamp Solar, LLC",13502,NC,Robeson,CPLE,SERC,180,34.662627,2000,0,2,34.662627,-79.132926,14
63697,63697,Cranberry Solar,13440,MA,Plymouth,ISNE,NPCC,200,10,1000,0,0,41.871955,-70.907792,14
63698,63698,Galloway Landfill,GALLO,NJ,Monmouth,PJM,RFC,181,25,2300,0,0,40.172415,-74.023243,14
63718,63718,ISM Solar Cranston CSG,CR,RI,Providence,ISNE,NPCC,180,25,3100,0,0,41.735147,-71.46304,14
63720,63720,Augusta Solar,PGR23,SC,Greenwood,DUK,SERC,180,0,2000,0,0,34.124,-82.13,14
63732,63732,"ESA Buies Creek, LLC",11630,NC,Harnett,CPLE,SERC,180,20,2800,2,0,35.41424,-78.71433,14
63733,63733,"Eros Solar, LLC",11631,NC,Duplin,CPLE,SERC,180,20,5000,2,0,35.16513,-78.08025,14
63734,63734,"Ventura Solar, LLC",11632,NC,Alexander,DUK,SERC,180,20,5000,2,0,35.878809,-81.177116,14
63741,63741,USS Bluff Country Solar CSG,USBCS,MN,Winona,MISO,MRO,0,0,1000,0,2,44.111881,-91.843552,14
63743,63743,USS Solar Way LLC CSG,SOLWY,MN,Freeborn,MISO,MRO,0,0,1000,0,2,43.82563,-93.43378,14
63745,63745,"Greensville County Solar Project, LLC",GVSO,VA,Greensville,PJM,SERC,52,36.64,80000,0,2,36.64,-77.57,14
63746,63746,"TWE Myrtle Solar Farm, LLC",MYSO,VA,Suffolk City,PJM,SERC,52,36.79,15000,0,2,36.79,-76.67,14
63748,63748,Mount Hope West,MHW,NY,Orange,NYIS,NPCC,180,80,1900,0,0,41.466974,-74.509417,14
63749,63749,Mount Hope East,MHE,NY,Orange,NYIS,NPCC,180,25,1900,0,0,41.467654,-74.509646,14
63750,63750,Bluestone,BLU,NY,Ulster,NYIS,NPCC,180,25,2000,0,0,41.987467,-74.030193,14
63751,63751,Underhill,UND,NY,Dutchess,NYIS,NPCC,180,25,2000,0,0,41.716281,-73.884263,14
63752,63752,Grabinski,GRA,NY,Orange,NYIS,NPCC,180,25,2000,0,0,41.578731,-74.17967,14
63753,63753,"Platteville Solar CSG, LLC",218,CO,Weld,PSCO,WECC,180,52,1300,2,2,40.22833,-104.77471,14
63754,63754,Gulf Power Blue Indigo Energy,SBI01,FL,Jackson,SOCO,SERC,180,30.877262,74500,0,2,30.877262,-85.40065,14
63756,63756,Omtanke Solar,DGSC1,SC,Berkeley,SC,SERC,190,20,6000,0,0,33.133705,-80.253716,14
63758,63758,Kroger La Habra,KROLH,CA,Orange,CISO,WECC,180,10,1200,0,0,33.917918,-117.939825,14
63759,63759,Ballenger Road Solar A,BALGR,SC,Spartanburg,DUK,WECC,180,35.04354,2000,0,2,35.04354,-82.112843,14
63760,63760,White Horse Solar A,WHRSA,SC,Greenville,DUK,SERC,180,34.786327,2000,0,2,34.786327,-82.398437,14
63761,63761,Soscol Ferry Solar,"SSCLC,SSCLD",CA,Napa,CISO,WECC,180,38.237422,2000,0,2,38.237422,-122.275184,14
63768,63768,Elk Hill Solar 2,PAEH2,PA,Franklin,PJM,RFC,180,52,15000,0,2,39.799589,-77.811561,14
63772,63772,Adirondack Solar,1394,NY,Clinton,NYIS,NPCC,0,30,1100,0,0,44.893641,-73.841731,14
63774,63774,Mount Kisco Landfill Solar & Storage CSG,KRS,NY,Westchester,NYIS,RFC,180,15,1000,2,0,41.195478,-73.73606,14
63778,63778,"Suntex Solar, LLC",3,OR,Harney,BPAT,WECC,180,43.56149,10000,0,2,43.56149,-119.68621,14
63779,63779,"Rock Garden Solar, LLC",4,OR,Lake,BPAT,WECC,180,43.39691,10000,0,2,43.39691,-120.93038,14
63780,63780,NY- CSG- Johnstown 2,JOHN2,NY,Fulton,NYIS,NPCC,180,30,2000,0,0,43.04232,-74.37876,14
63781,63781,NY- CSG- Livingston 4,LIV4,NY,Livingston,NYIS,NPCC,180,30,2000,0,0,42.9199,-77.7642,14
